x, y,z
3873,3807,2.00
4220,3422,2.00
4446,3130,2.00
4677,2838,2.00
4994,2633,2.00
3179,3197,2.00
3544,2792,2.00
3867,2361,2.00
4153,2109,2.00
4476,1970,2.00
4982,1883,2.00
2753,2779,2.50
3094,2387,2.50
3386,2036,2.50
3654,1844,2.50
4038,1711,2.50
4464,1651,2.50
4988,1578,2.50
2448,2460,3.00
2771,2116,3.00
3021,1857,3.00
3337,1651,3.00
3776,1532,3.00
4251,1479,3.00
4994,1413,3.00
2034,2049,4.00
2430,1645,4.00
2954,1386,4.00
3459,1293,4.00
4026,1227,4.00
4574,1200,4.00
4988,1180,4.00
1790,1797,5.00
2144,1432,5.00
2607,1200,5.00
3197,1141,5.00
3721,1088,5.00
4391,1061,5.00
4988,1035,5.00
1468,1472,7.00
1809,1161,7.00
2138,1028,7.00
2637,955,7.00
3216,909,7.00
4038,875,7.00
4976,855,7.00
1188,1207,10.00
1523,935,10.00
1955,809,10.00
2497,763,10.00
3124,729,10.00
3703,723,10.00
4397,710,10.00
4982,696,10.00
