x, y,z
3368,3412,1.00
3803,3018,1.00
4081,2768,1.00
4365,2472,1.00
4571,2104,1.00
4704,1907,1.00
5000,1821,1.00
2944,2972,1.25
3301,2663,1.25
3525,2439,1.25
3767,2143,1.25
4021,1722,1.25
4329,1611,1.25
4589,1525,1.25
5000,1479,1.25
2648,2669,1.50
2963,2347,1.50
3253,2025,1.50
3434,1736,1.50
3591,1545,1.50
3930,1440,1.50
4329,1354,1.50
5000,1302,1.50
2207,2229,2.00
2539,1880,2.00
2775,1565,2.00
2987,1348,2.00
3368,1216,2.00
3833,1137,2.00
4256,1118,2.00
5000,1098,2.00
1911,1946,2.50
2207,1637,2.50
2461,1295,2.50
2721,1144,2.50
3047,1072,2.50
3495,1012,2.50
3984,986,2.50
4595,960,2.50
5000,960,2.50
1729,1729,3.00
1995,1413,3.00
2207,1151,3.00
2515,993,3.00
2884,940,3.00
3410,907,3.00
3972,881,3.00
4553,874,3.00
4994,861,3.00
1421,1453,4.00
1681,1144,4.00
1838,973,4.00
2140,868,4.00
2612,796,4.00
3144,769,4.00
3646,763,4.00
4166,749,4.00
5006,730,4.00
1239,1249,5.00
1499,934,5.00
1681,809,5.00
2019,743,5.00
2551,697,5.00
3216,677,5.00
3803,664,5.00
4414,651,5.00
5000,625,5.00
1004,999,7.00
1179,789,7.00
1560,618,7.00
2267,572,7.00
3083,565,7.00
3851,559,7.00
4498,526,7.00
4994,526,7.00
792,815,10.00
1040,618,10.00
1651,513,10.00
2328,473,10.00
2999,447,10.00
3712,440,10.00
4178,427,10.00
