x, y,z
3374,3421,0.50
3625,3229,0.50
3894,3003,0.50
4181,2843,0.50
4700,2671,0.50
4994,2591,0.50
2714,2750,0.50
3068,2425,0.75
3454,2179,0.75
3771,1966,0.75
3998,1767,0.75
4193,1382,0.75
4535,1262,0.75
4988,1216,0.75
2317,2338,1.00
2671,2020,1.00
3068,1727,1.00
3240,1555,1.00
3460,1209,1.00
3612,1136,1.00
4077,1050,1.00
4584,1016,1.00
4994,1010,1.00
2042,2073,1.25
2396,1741,1.25
2714,1468,1.25
2891,1196,1.25
3062,1043,1.25
3405,950,1.25
3912,917,1.25
4994,897,1.25
1822,1853,1.50
2005,1681,1.50
2249,1475,1.50
2494,1163,1.50
2659,970,1.50
3087,870,1.50
3564,824,1.50
4175,804,1.50
4994,797,1.50
1540,1561,2.00
1797,1315,2.00
2005,1096,2.00
2145,870,2.00
2335,771,2.00
2671,731,2.00
2983,724,2.00
3502,698,2.00
4108,698,2.00
4560,684,2.00
4994,664,2.00
1351,1375,2.50
1608,1109,2.50
1767,870,2.50
1828,757,2.50
2115,698,2.50
2494,651,2.50
2928,624,2.50
3472,618,2.50
3985,605,2.50
4572,585,2.50
4982,578,2.50
1222,1222,3.00
1443,963,3.00
1571,751,3.00
1815,644,3.00
2237,558,3.00
2824,551,3.00
3551,545,3.00
4487,472,3.00
1015,1023,4.00
1253,717,4.00
1369,558,4.00
1895,518,4.00
2396,505,4.00
2952,492,4.00
3466,465,4.00
4016,412,4.00
868,884,5.00
1094,571,5.00
1449,485,5.00
1932,458,5.00
2421,438,5.00
2946,425,5.00
3625,392,5.00
703,717,7.00
825,558,7.00
1027,458,7.00
1345,379,7.00
1858,359,7.00
2317,339,7.00
2861,312,7.00
568,571,10.00
740,372,10.00
1229,332,10.00
1724,292,10.00
2402,252,10.00
