x, y,z
2936,2932,0.50
3111,2776,0.50
3217,2692,0.50
3378,2562,0.50
3606,2426,0.50
3995,2217,0.50
2352,2337,0.75
2581,2150,0.75
2761,2003,0.75
2994,1837,0.75
3188,1732,0.75
3388,1565,0.75
3533,1289,0.75
3674,1132,0.75
3990,1038,0.75
2002,2003,1.00
2236,1784,1.00
2459,1612,1.00
2756,1362,1.00
2902,1132,1.00
3081,934,1.00
3397,882,1.00
3990,830,1.00
1759,1748,1.25
1964,1565,1.25
2143,1403,1.25
2323,1263,1.25
2459,1080,1.25
2527,918,1.25
2809,798,1.25
3164,746,1.25
3990,710,1.25
1584,1581,1.50
1803,1362,1.50
2061,1143,1.50
2163,960,1.50
2323,783,1.50
2411,736,1.50
2697,694,1.50
3188,678,1.50
3990,642,1.50
1332,1320,2.00
1492,1179,2.00
1691,976,2.00
1818,741,2.00
1978,657,2.00
2275,595,2.00
2678,548,2.00
3081,548,2.00
3499,543,2.00
3990,527,2.00
1181,1179,2.50
1419,913,2.50
1536,704,2.50
1687,558,2.50
1968,532,2.50
2275,517,2.50
2741,496,2.50
3140,501,2.50
3495,485,2.50
3679,449,2.50
3995,443,2.50
1060,1038,3.00
1254,819,3.00
1385,569,3.00
1570,511,3.00
1842,496,3.00
2124,475,3.00
2503,459,3.00
2868,459,3.00
3242,449,3.00
3597,423,3.00
3810,397,3.00
885,877,4.00
1035,704,4.00
1108,553,4.00
1273,490,4.00
1443,443,4.00
1730,407,4.00
2046,391,4.00
2420,381,4.00
2785,365,4.00
3310,344,4.00
753,741,5.00
885,590,5.00
1021,470,5.00
1230,370,5.00
1594,350,5.00
1949,344,5.00
2192,323,5.00
2488,308,5.00
2731,282,5.00
598,605,7.00
739,438,7.00
865,355,7.00
1152,334,7.00
1434,329,7.00
1857,308,7.00
2066,271,7.00
2318,256,7.00
608,355,10.00
817,318,10.00
1050,308,10.00
1366,292,10.00
1696,287,10.00
1983,214,10.00
