x, y,z
3634,3681,2.00
3933,3382,2.00
4232,3004,2.00
4634,2593,2.00
4994,2513,2.00
3159,3190,2.50
3524,2805,2.50
3872,2440,2.50
4262,2182,2.50
4701,2062,2.50
4994,2016,2.50
2829,2858,3.00
3232,2421,3.00
3598,2109,3.00
4024,1903,3.00
4488,1817,3.00
4994,1757,3.00
2372,2394,4.00
2780,2003,4.00
3201,1738,4.00
3652,1592,4.00
4177,1532,4.00
4659,1472,4.00
4988,1452,4.00
2073,2096,5.00
2409,1777,5.00
2768,1558,5.00
3201,1439,5.00
3652,1366,5.00
4244,1320,5.00
4994,1273,5.00
1720,1724,7.00
2091,1413,7.00
2561,1214,7.00
3085,1147,7.00
3677,1094,7.00
4348,1068,7.00
4994,1054,7.00
1421,1419,10.00
1738,1161,10.00
2232,1001,10.00
2762,935,10.00
3390,909,10.00
4061,882,10.00
4994,862,10.00
